age,gender,education,party,income,too_many_imm,take_jobs,drive_down_wages,create_jobs,brexit_to_cut,increase_imm,sm_or_control,eu_vote,employment,student,condition
36,Male,A-lev,None,30-40K,0,5,5,4,10,6,10,Remain,Full-Time,No,text
41,Male,PG,Lab,30-40K,0,4,3,4,9,5,10,Remain,Full-Time,No,text
39,Female,PG,Grn,30-40K,0,5,5,4,10,9,10,Remain,Not in paid work,No,text
75,Male,Post2,None,30-40K,0,5,4,4,10,5,10,Remain,Not in paid work,No,text
23,Male,BA,Lab,10-20K,0,3,3,3,5,4,6,Remain,Full-Time,No,text
33,Male,A-lev,Lib,50-60K,0,4,4,4,5,5,9,Remain,Full-Time,No,text
34,Male,A-lev,SNP,60-70K,0,5,5,5,10,6,10,Remain,Full-Time,No,text
23,Male,PG,Lib,40-50K,0,5,5,5,9,6,9,Remain,Unemployed,No,text
25,Male,BA,Con,30-40K,0,4,4,2,6,5,9,Remain,Full-Time,No,text
21,Male,BA,Lab,40-50K,0,4,2,4,6,5,10,Remain,Part-Time,No,text
26,Male,GCSEorLess,Plaid,70-80K,0,5,5,5,10,5,10,Remain,Full-Time,No,text
21,Male,A-lev,Grn,10-20K,0,4,4,3,4,4,7,Remain,Unemployed,No,text
50,Male,A-lev,Lab,20-30K,0,4,4,3,10,5,10,Remain,Unemployed,No,text
33,Female,BA,Con,50-60K,1,2,3,1,3,2,5,Remain,Not in paid work,No,text
31,Male,A-lev,Lab,60-70K,1,4,5,4,5,3,5,Remain,Full-Time,No,text
29,Male,BA,None,60-70K,0,4,4,4,9,5,7,Remain,Full-Time,No,text
39,Female,A-lev,Lab,30-40K,0,5,5,4,9,4,5,Remain,Part-Time,No,text
33,Female,A-lev,None,Under10K,1,4,4,2,3,4,8,Remain,Unemployed,No,text
47,Male,BA,Lab,30-40K,0,5,5,4,10,5,10,Remain,Full-Time,Yes,text
40,Female,A-lev,Con,80-90K,1,4,4,2,2,1,1,Remain,Part-Time,No,text
25,Female,BA,Grn,30-40K,0,4,4,4,5,4,5,Remain,Full-Time,Yes,text
32,Male,GCSEorLess,None,30-40K,1,2,3,2,4,3,5,Remain,Part-Time,No,text
22,Female,Post2,Lab,10-20K,1,4,2,3,4,3,5,Remain,Other,Yes,text
32,Male,Post2,Rather_not_say,20-30K,0,2,4,3,7,5,6,Remain,Full-Time,No,text
46,Male,BA,Lab,10-20K,0,5,4,4,10,5,10,Remain,Part-Time,No,text
63,Male,BA,Con,10-20K,0,4,4,4,9,5,5,Remain,Part-Time,No,text
51,Male,BA,Lib,30-40K,1,2,2,4,4,3,8,Remain,Part-Time,No,text
26,Male,PG,Rather_not_say,60-70K,1,3,2,3,3,3,8,Remain,Full-Time,Yes,text
47,Male,A-lev,Lab,60-70K,0,5,4,4,8,5,10,Remain,Full-Time,No,text
21,Male,A-lev,None,Under10K,0,4,4,2,10,5,10,Remain,Part-Time,Yes,text
54,Male,BA,Lab,20-30K,1,2,2,3,2,3,5,Remain,Part-Time,No,text
34,Male,PG,None,90-100K,0,5,5,1,10,7,10,Remain,Full-Time,No,text
46,Male,BA,Grn,10-20K,0,4,4,4,8,5,8,Remain,Other,No,text
19,Male,A-lev,None,Under10K,1,5,4,3,1,7,3,Remain,Part-Time,Yes,text
36,Male,A-lev,Lab,30-40K,0,5,5,5,10,6,10,Remain,Full-Time,No,text
27,Male,GCSEorLess,Lib,40-50K,0,4,4,3,8,5,10,Remain,Unemployed,No,text
36,Female,BA,Lib,20-30K,1,2,4,5,2,4,8,Remain,Part-Time,Yes,text
42,Male,BA,None,20-30K,0,4,5,4,9,5,9,Remain,Part-Time,Yes,text
40,Male,A-lev,None,40-50K,1,4,4,4,7,5,10,Remain,Full-Time,No,text
66,Male,BA,Con,50-60K,1,5,5,5,10,3,10,Remain,Not in paid work,No,text
32,Female,BA,Rather_not_say,40-50K,0,4,4,4,8,4,5,Remain,Not in paid work,No,text
39,Female,BA,Plaid,60-70K,1,4,4,4,4,3,9,Remain,Full-Time,No,text
34,Female,A-lev,Lab,50-60K,0,4,4,3,7,2,9,Remain,Full-Time,No,text
46,Male,BA,Lab,70-80K,0,3,2,3,4,5,9,Remain,Part-Time,No,text
21,Male,BA,Lab,60-70K,0,5,5,5,10,6,10,Remain,Part-Time,Yes,text
33,Male,PG,Lib,20-30K,0,4,3,4,8,7,8,Remain,Full-Time,No,text
22,Female,BA,Grn,10-20K,0,5,5,4,10,7,10,Remain,Part-Time,Yes,text
30,Male,PG,Con,70-80K,1,4,4,4,8,3,9,Remain,Full-Time,No,text
57,Male,BA,Lab,30-40K,0,5,4,5,10,5,10,Remain,Part-Time,No,text
43,Female,BA,Con,80-90K,1,4,4,4,0,2,4,Remain,Not in paid work,No,text
53,Male,BA,Lab,50-60K,0,5,5,5,10,5,10,Remain,Full-Time,No,text
23,Male,BA,Lab,20-30K,0,4,4,4,10,7,9,Remain,Part-Time,Yes,text
23,Female,GCSEorLess,Lab,Under10K,0,4,4,3,9,5,9,Remain,Unemployed,No,text
62,Female,BA,Lib,30-40K,0,5,5,4,10,5,10,Remain,Full-Time,No,text
22,Female,BA,Lab,Under10K,0,5,5,5,9,6,9,Remain,Other,Yes,text
61,Male,BA,Lab,20-30K,0,5,4,1,10,4,10,Remain,Not in paid work,No,text
69,Female,PG,Lib,20-30K,0,4,4,4,9,6,10,Remain,Not in paid work,No,text
59,Female,GCSEorLess,Con,10-20K,1,3,3,4,5,5,5,Remain,Not in paid work,No,text
23,Female,PG,None,90-100K,0,5,4,4,9,6,8,Remain,Part-Time,Yes,text
44,Female,GCSEorLess,Lab,40-50K,0,5,5,4,10,5,10,Remain,Part-Time,Yes,text
41,Male,PG,Lab,30-40K,0,4,4,4,9,5,8,Remain,Full-Time,Yes,text
44,Female,A-lev,Con,20-30K,0,4,4,3,9,5,5,Remain,Not in paid work,No,text
24,Male,BA,Lab,20-30K,0,5,4,4,8,5,8,Remain,Part-Time,No,text
49,Female,Post2,Con,50-60K,0,3,3,3,5,3,5,Remain,Full-Time,No,text
37,Female,Post2,Con,40-50K,0,5,5,3,10,5,10,Remain,Part-Time,No,text
40,Male,BA,SNP,40-50K,0,4,4,4,9,7,9,Remain,Full-Time,No,text
53,Female,BA,Grn,20-30K,0,5,5,3,10,5,10,Remain,Other,No,text
23,Male,PG,None,30-40K,0,4,4,3,9,6,10,Remain,Full-Time,No,text
24,Female,BA,Lab,10-20K,0,5,5,4,10,5,5,Remain,Unemployed,No,text
27,Female,GCSEorLess,Lab,40-50K,0,5,5,3,9,5,8,Remain,Full-Time,No,text
38,Female,BA,None,90-100K,0,4,4,3,4,4,5,Remain,Not in paid work,No,text
32,Female,A-lev,SNP,30-40K,0,5,5,1,10,5,10,Remain,Unemployed,No,text
22,Female,BA,Lab,Under10K,0,4,3,4,7,4,5,Remain,Part-Time,Yes,text
31,Male,Post2,Lab,20-30K,0,3,4,4,7,4,10,Remain,Full-Time,No,text
21,Female,PG,Lab,50-60K,1,5,4,4,0,4,0,Remain,Unemployed,Yes,text
41,Male,PG,Grn,50-60K,0,5,5,4,10,5,10,Remain,Not in paid work,No,text
54,Female,PG,Lib,50-60K,1,4,4,3,2,4,5,Remain,Not in paid work,No,text
44,Male,PG,SNP,20-30K,0,5,4,4,10,8,10,Remain,Full-Time,No,text
45,Female,BA,None,70-80K,0,4,5,4,8,4,10,Remain,Not in paid work,No,text
28,Female,A-lev,Lab,40-50K,0,5,5,3,10,5,10,Remain,Full-Time,No,text
61,Male,BA,Lab,40-50K,0,5,5,4,10,5,10,Remain,Part-Time,No,text
28,Female,BA,None,30-40K,0,5,4,4,10,5,9,Remain,Not in paid work,Yes,text
22,Male,A-lev,Lab,20-30K,0,5,5,5,10,7,10,Remain,Full-Time,No,text
34,Male,GCSEorLess,None,80-90K,0,5,5,5,10,5,8,Remain,Full-Time,No,text
37,Male,BA,Lib,20-30K,0,5,5,4,10,5,10,Remain,Full-Time,No,text
24,Male,BA,Grn,80-90K,0,3,3,3,7,5,5,Remain,Full-Time,No,text
35,Female,PG,Lab,40-50K,0,5,5,4,8,5,7,Remain,Full-Time,No,text
40,Female,BA,Con,80-90K,0,5,5,5,9,5,9,Remain,Part-Time,No,text
58,Male,BA,Lab,30-40K,0,5,5,4,9,5,10,Remain,Not in paid work,No,text
26,Female,PG,Lab,10-20K,0,4,4,5,10,5,10,Remain,Other,No,text
29,Male,GCSEorLess,Lab,20-30K,0,4,4,4,10,5,10,Remain,Other,No,text
55,Male,BA,Con,70-80K,1,5,3,3,5,3,10,Remain,Other,No,text
56,Male,GCSEorLess,Con,50-60K,0,5,5,5,10,8,10,Remain,Not in paid work,No,text
37,Male,BA,Grn,80-90K,0,5,5,5,10,10,10,Remain,Full-Time,No,text
33,Male,BA,Lab,30-40K,0,4,4,4,10,5,10,Remain,Full-Time,No,text
33,Female,BA,Grn,40-50K,0,4,4,2,9,5,9,Remain,Full-Time,No,text
53,Female,BA,Lab,40-50K,0,4,5,4,10,5,10,Remain,Not in paid work,No,text
24,Female,PG,Lab,20-30K,0,4,3,3,6,3,4,Remain,Full-Time,No,text
40,Female,BA,Lab,70-80K,0,4,5,4,9,6,6,Remain,Full-Time,No,text
47,Male,BA,Con,40-50K,0,4,4,4,7,5,5,Remain,Full-Time,No,text
25,Female,PG,Lib,40-50K,0,4,4,4,8,5,9,Remain,Full-Time,No,text
39,Female,BA,Lib,10-20K,0,3,4,3,9,5,7,Remain,Full-Time,No,text
28,Female,BA,Grn,60-70K,0,4,4,3,8,5,9,Remain,Full-Time,No,text
22,Male,A-lev,Lab,40-50K,1,4,2,2,2,4,5,Remain,Not in paid work,No,text
27,Female,BA,Lib,60-70K,0,5,5,3,10,5,10,Remain,Full-Time,No,text
35,Female,GCSEorLess,Lab,30-40K,0,4,4,3,8,5,4,Remain,Not in paid work,No,text
40,Female,BA,Lab,50-60K,0,4,4,3,4,3,9,Remain,Full-Time,No,text
39,Female,GCSEorLess,Lab,10-20K,0,4,4,4,8,4,9,Remain,Part-Time,No,text
56,Male,PG,None,30-40K,0,4,4,4,10,5,9,Remain,Not in paid work,No,text
33,Male,BA,Lab,10-20K,0,5,5,5,10,5,10,Remain,Full-Time,No,text
34,Male,A-lev,SNP,10-20K,0,5,5,3,8,5,3,Remain,Full-Time,No,text
29,Female,BA,None,30-40K,0,5,2,5,6,6,7,Remain,Full-Time,No,text
54,Male,BA,Lab,30-40K,0,4,3,4,3,6,5,No vote,Full-Time,No,text
49,Female,BA,Lib,40-50K,1,2,2,4,3,2,8,Remain,Part-Time,No,text
58,Female,A-lev,Lib,10-20K,0,5,5,4,10,5,10,Remain,Not in paid work,No,text
22,Male,BA,None,10-20K,0,5,5,4,5,5,5,Remain,Full-Time,Yes,text
45,Female,A-lev,Lab,30-40K,1,4,4,3,9,5,1,Remain,Part-Time,No,text
25,Male,PG,Lab,30-40K,0,4,4,4,8,5,10,Remain,Unemployed,No,text
40,Female,BA,Con,Over100K,0,4,4,2,3,4,9,Remain,Not in paid work,No,text
32,Male,BA,UKIP,60-70K,0,4,3,3,5,3,6,Remain,Full-Time,No,text
52,Female,Post2,SNP,90-100K,1,4,4,3,8,0,3,Remain,Full-Time,No,text
30,Male,BA,Lab,20-30K,0,4,3,4,10,6,10,Remain,Full-Time,No,text
19,Male,A-lev,Lab,Under10K,1,2,4,5,3,6,10,Remain,Other,Yes,text
22,Male,A-lev,Lab,Under10K,0,5,5,5,10,5,10,Remain,Other,Yes,text
53,Female,Post2,None,20-30K,0,4,3,4,4,3,8,Remain,Part-Time,No,text
23,Female,BA,Lab,20-30K,0,5,5,4,5,5,6,Remain,Part-Time,Yes,text
32,Male,BA,SNP,60-70K,0,4,4,3,5,5,6,Remain,Full-Time,No,text
51,Female,Post2,None,90-100K,0,4,4,4,9,5,8,Remain,Full-Time,No,text
31,Male,PG,Lab,50-60K,1,4,2,4,4,2,10,Remain,Full-Time,No,text
34,Male,PG,Lib,30-40K,0,4,4,4,9,5,10,Remain,Full-Time,No,text
52,Female,A-lev,Lab,10-20K,1,1,3,3,0,0,0,Remain,Part-Time,No,text
32,Female,PG,Lab,40-50K,0,5,5,4,10,5,10,Remain,Full-Time,No,text
66,Female,GCSEorLess,Con,50-60K,1,3,2,2,2,0,0,Remain,Part-Time,No,text
53,Female,PG,Lib,Over100K,0,4,5,4,6,4,5,Remain,Not in paid work,Yes,text
23,Male,BA,Lib,70-80K,0,3,4,4,5,3,8,Remain,Other,Yes,text
29,Female,BA,Lab,50-60K,0,4,3,4,8,5,10,Remain,Full-Time,No,text
28,Male,A-lev,None,10-20K,0,4,4,4,5,5,0,Remain,Full-Time,No,text
29,Female,BA,Rather_not_say,70-80K,0,4,4,4,9,5,9,Remain,Full-Time,No,text
40,Female,BA,Grn,50-60K,0,4,4,4,6,4,6,Remain,Full-Time,Yes,text
34,Female,BA,Con,60-70K,1,4,4,3,4,4,6,Remain,Full-Time,No,text
27,Female,BA,None,80-90K,0,5,5,4,8,4,5,Remain,Full-Time,No,text
25,Female,BA,Rather_not_say,10-20K,0,5,5,4,10,5,5,Remain,Unemployed,No,text
65,Female,BA,Lab,50-60K,0,5,5,1,10,5,10,Remain,Not in paid work,No,text
26,Female,PG,Lab,50-60K,0,4,4,3,8,4,6,Remain,Full-Time,No,text
38,Female,BA,Grn,20-30K,0,4,4,3,6,5,9,Remain,Full-Time,No,text
21,Female,BA,Grn,Under10K,0,4,4,4,8,6,8,Remain,Other,Yes,text
56,Female,BA,Lib,20-30K,0,5,5,5,10,6,10,Remain,Full-Time,No,text
56,Male,PG,None,Under10K,0,4,3,1,10,5,10,Remain,Not in paid work,No,text
32,Female,PG,Lab,30-40K,0,4,3,5,8,5,10,Remain,Full-Time,No,text
36,Female,PG,SNP,80-90K,0,5,4,4,9,5,8,Remain,Full-Time,No,text
22,Female,GCSEorLess,None,10-20K,1,2,3,4,1,8,5,Remain,Part-Time,No,text
60,Female,PG,Lab,60-70K,0,5,4,5,10,5,10,Remain,Unemployed,No,text
65,Male,BA,Con,30-40K,1,2,2,2,0,0,0,Remain,Not in paid work,No,text
28,Female,PG,Lab,30-40K,1,5,5,3,7,0,7,Remain,Part-Time,No,text
61,Female,BA,Con,40-50K,1,4,4,4,5,4,10,Remain,Full-Time,No,text
24,Male,BA,Lib,50-60K,0,5,4,5,9,6,9,Remain,Not in paid work,No,text
20,Male,Post2,Lab,70-80K,0,5,3,5,10,5,6,Remain,Part-Time,No,text
33,Male,GCSEorLess,Con,30-40K,0,4,4,4,8,5,10,Remain,Full-Time,No,text
27,Male,BA,Lab,20-30K,0,4,4,3,6,3,10,Remain,Part-Time,No,text
36,Male,BA,SNP,80-90K,0,5,5,4,9,8,10,Remain,Full-Time,No,text
33,Male,PG,Grn,90-100K,0,3,4,4,9,5,8,Remain,Full-Time,No,text
34,Female,BA,Lab,20-30K,0,5,4,4,10,5,10,Remain,Full-Time,Yes,text
38,Male,PG,Lab,20-30K,0,3,4,4,10,4,10,Remain,Full-Time,No,text
20,Male,A-lev,Lab,20-30K,1,2,4,4,2,2,5,Remain,Full-Time,No,text
61,Male,GCSEorLess,Lab,20-30K,0,5,5,5,9,5,10,Remain,Full-Time,No,text
37,Female,Post2,SNP,60-70K,0,4,4,4,5,5,5,Remain,Part-Time,No,text
33,Male,BA,None,70-80K,0,4,4,4,6,5,5,Remain,Full-Time,No,text
37,Female,PG,Grn,50-60K,0,4,4,4,8,5,9,Remain,Not in paid work,No,text
28,Male,Post2,None,10-20K,1,4,4,3,7,5,5,Remain,Full-Time,No,text
62,Male,BA,Con,70-80K,0,4,2,4,4,3,8,Remain,Full-Time,No,text
37,Female,BA,Lab,40-50K,0,5,5,4,10,5,6,Remain,Full-Time,No,text
30,Female,PG,None,10-20K,0,4,4,3,9,5,10,Remain,Part-Time,No,text
29,Male,BA,Grn,Under10K,0,3,3,4,6,4,9,Remain,Unemployed,No,text
36,Male,A-lev,Lab,90-100K,0,5,5,4,10,6,10,Remain,Full-Time,No,text
44,Female,BA,Con,40-50K,0,5,5,4,6,5,8,Remain,Other,No,text
26,Female,BA,Lab,40-50K,0,5,4,4,9,1,9,Remain,Part-Time,No,text
43,Female,BA,Lab,30-40K,0,5,5,4,10,7,10,Remain,Part-Time,No,text
52,Female,Post2,Lab,30-40K,0,4,4,3,8,5,10,Remain,Other,No,text
26,Female,PG,Grn,20-30K,0,4,4,2,9,5,5,Remain,Full-Time,No,text
28,Female,BA,Lab,20-30K,0,4,4,4,5,4,6,Remain,Full-Time,No,text
45,Female,GCSEorLess,Lab,30-40K,1,1,1,1,0,0,9,Remain,Full-Time,No,text
39,Female,A-lev,SNP,60-70K,0,4,4,3,8,5,5,No vote,Full-Time,No,text
39,Female,BA,Grn,60-70K,0,4,4,4,4,4,4,Remain,Full-Time,No,text
59,Female,GCSEorLess,Lab,30-40K,0,4,4,3,10,5,6,Remain,Not in paid work,No,text
31,Male,GCSEorLess,SNP,10-20K,0,5,5,5,9,5,9,Remain,Full-Time,No,text
41,Female,BA,Lab,Over100K,0,4,4,4,9,5,9,Remain,Full-Time,No,text
70,Female,BA,Lab,10-20K,0,5,5,5,10,5,10,Remain,Not in paid work,No,text
37,Female,GCSEorLess,Con,40-50K,0,4,4,4,9,5,9,Remain,Full-Time,No,text
56,Female,GCSEorLess,Lab,Under10K,0,4,4,3,8,5,9,Remain,Not in paid work,No,text
60,Female,BA,Con,50-60K,0,5,4,3,9,5,5,Remain,Full-Time,No,text
47,Male,PG,Lab,70-80K,1,2,2,3,4,4,10,Remain,Full-Time,No,text
22,Male,BA,None,70-80K,0,2,4,4,4,4,8,Remain,Other,Yes,text
60,Female,GCSEorLess,None,10-20K,1,3,3,5,2,3,0,Remain,Unemployed,No,text
50,Male,A-lev,Lab,10-20K,0,5,5,4,8,5,10,Remain,Full-Time,No,text
38,Female,PG,Grn,40-50K,0,5,5,4,10,9,10,Remain,Full-Time,No,text
26,Male,PG,None,10-20K,0,5,5,4,10,5,10,Remain,Full-Time,No,text
33,Male,GCSEorLess,Lab,Under10K,1,2,4,1,0,10,0,Remain,Part-Time,No,text
52,Female,BA,Lab,30-40K,0,4,3,3,5,5,7,Remain,Part-Time,No,text
58,Male,BA,None,70-80K,1,4,2,3,4,4,4,Remain,Full-Time,No,text
63,Female,GCSEorLess,Lab,10-20K,0,5,5,4,10,5,10,Remain,Not in paid work,No,text
33,Female,PG,SNP,20-30K,0,5,5,4,9,5,9,Remain,Full-Time,No,text
63,Male,BA,Lib,30-40K,0,3,4,4,9,5,5,Remain,Other,No,text
28,Male,GCSEorLess,Lab,40-50K,1,2,2,4,9,4,4,Remain,Not in paid work,No,text
63,Male,A-lev,Lab,10-20K,0,4,4,4,9,6,10,Remain,Not in paid work,No,text
27,Male,PG,None,40-50K,0,4,5,5,10,5,10,Remain,Full-Time,No,text
36,Female,BA,Lab,60-70K,0,5,4,4,10,4,10,Remain,Part-Time,No,text
23,Female,PG,Lab,40-50K,0,4,4,3,8,5,9,Remain,Other,No,text
31,Male,GCSEorLess,Lab,Under10K,1,1,1,1,0,10,0,Remain,Full-Time,No,text
33,Female,Post2,Rather_not_say,60-70K,0,5,4,3,4,5,8,Remain,Full-Time,No,text
35,Male,PG,Lab,30-40K,1,4,4,3,5,6,6,Remain,Full-Time,No,text
24,Male,Post2,Lab,20-30K,0,5,5,5,5,5,5,Remain,Full-Time,No,text
41,Male,PG,Lib,70-80K,1,5,5,5,10,0,10,Remain,Full-Time,No,text
35,Female,PG,Grn,40-50K,0,4,4,3,10,5,10,Remain,Not in paid work,No,text
60,Female,Post2,Lab,30-40K,1,1,2,3,1,1,1,Remain,Full-Time,No,text
20,Female,A-lev,Lab,Over100K,0,5,4,4,7,5,10,Remain,Part-Time,Yes,text
53,Male,BA,Lib,70-80K,0,4,4,4,7,6,8,Remain,Full-Time,No,text
70,Male,A-lev,Lib,20-30K,0,4,4,5,10,5,10,Remain,Part-Time,No,text
63,Male,BA,Grn,50-60K,0,4,4,4,9,4,9,Remain,Not in paid work,No,text
54,Female,GCSEorLess,None,Under10K,0,4,4,4,5,6,5,Remain,Not in paid work,No,text
58,Female,Post2,Rather_not_say,20-30K,0,5,3,4,10,5,5,Remain,Full-Time,No,text
24,Male,BA,None,Under10K,0,4,4,4,10,8,10,Remain,Unemployed,Yes,text
41,Male,A-lev,Lab,30-40K,0,3,4,4,8,5,10,Remain,Full-Time,No,text
39,Male,PG,Lab,60-70K,0,4,4,4,8,4,8,Remain,Full-Time,No,text
22,Female,A-lev,Lab,70-80K,0,5,5,4,10,5,9,Remain,Full-Time,No,text
49,Female,PG,Lab,30-40K,0,5,5,4,10,6,10,Remain,Full-Time,No,text
29,Female,BA,None,30-40K,1,3,3,2,0,2,9,Remain,Part-Time,No,text
20,Female,Post2,Lab,70-80K,0,5,5,3,9,4,10,Remain,Unemployed,Yes,text
60,Male,Post2,SNP,40-50K,1,2,2,2,0,1,3,Remain,Full-Time,No,text
28,Female,BA,SNP,50-60K,0,5,5,4,10,5,10,Remain,Full-Time,No,text
19,Male,BA,Lab,40-50K,0,4,4,2,5,3,6,Remain,Part-Time,Yes,text
23,Male,BA,None,30-40K,0,4,5,4,9,5,10,Remain,Full-Time,No,text
46,Female,BA,None,50-60K,0,5,4,3,5,5,3,Remain,Not in paid work,No,text
45,Female,Post2,SNP,30-40K,0,4,4,4,8,5,10,Remain,Part-Time,Yes,text
25,Male,PG,Lab,50-60K,0,4,4,4,10,4,9,Remain,Other,Yes,text
49,Female,BA,None,10-20K,0,4,4,4,5,5,6,Remain,Part-Time,No,text
57,Female,GCSEorLess,SNP,20-30K,0,4,3,4,9,9,9,Remain,Not in paid work,No,text
41,Female,A-lev,None,10-20K,0,4,4,3,9,3,10,Remain,Not in paid work,No,text
28,Male,BA,Con,80-90K,0,4,4,4,8,5,5,Remain,Full-Time,No,text
29,Female,GCSEorLess,Con,30-40K,1,2,2,4,4,3,6,Remain,Part-Time,No,text
40,Female,PG,None,50-60K,0,4,4,3,9,5,9,Remain,Full-Time,No,text
40,Male,BA,Lab,40-50K,0,5,5,5,9,6,5,Remain,Full-Time,No,text
32,Male,Post2,Lab,40-50K,0,4,4,4,9,5,9,Remain,Full-Time,No,text
50,Female,A-lev,Con,20-30K,0,5,4,4,10,5,5,Remain,Full-Time,No,text
38,Female,BA,Con,30-40K,0,4,4,3,7,5,5,Remain,Full-Time,No,text
26,Female,Post2,Con,50-60K,0,5,2,3,5,3,0,Remain,Full-Time,No,text
40,Male,PG,Lab,40-50K,0,5,5,5,8,2,10,Remain,Full-Time,No,text
37,Male,PG,Lab,70-80K,0,5,5,4,10,5,10,Remain,Full-Time,No,text
27,Female,PG,Lab,30-40K,0,5,5,3,10,7,5,Remain,Other,No,text
38,Female,BA,Lab,60-70K,1,3,4,3,3,3,8,Remain,Full-Time,No,text
56,Male,GCSEorLess,Con,40-50K,0,4,4,3,4,4,8,Remain,Full-Time,No,text
50,Male,Post2,Lab,30-40K,0,4,4,4,8,4,8,Remain,Full-Time,No,text
29,Male,BA,Lab,70-80K,0,5,5,3,9,5,9,Remain,Full-Time,No,text
31,Male,GCSEorLess,Lab,50-60K,0,4,4,4,10,5,10,Remain,Full-Time,No,text
55,Female,PG,Grn,50-60K,0,4,4,3,5,4,5,Remain,Part-Time,No,text
38,Female,BA,Rather_not_say,30-40K,0,4,4,4,10,5,5,Remain,Full-Time,No,text
31,Female,BA,Lab,10-20K,0,5,5,5,10,7,10,Remain,Part-Time,No,text
50,Female,Post2,Lib,30-40K,0,4,4,3,10,5,10,Remain,Other,No,text
20,Female,A-lev,None,Under10K,0,4,4,3,5,4,5,Remain,Unemployed,No,text
23,Female,PG,Lab,Under10K,0,4,4,4,3,4,5,Remain,Part-Time,Yes,text
39,Female,BA,Lab,40-50K,0,5,3,4,10,3,10,Remain,Other,Yes,text
22,Male,PG,Con,10-20K,0,4,4,4,8,5,8,Remain,Other,Yes,text
39,Male,PG,SNP,20-30K,0,5,5,5,10,7,10,Remain,Full-Time,Yes,text
20,Female,BA,Lab,20-30K,0,4,4,4,7,4,10,Remain,Part-Time,Yes,text
50,Female,Post2,Lab,50-60K,0,4,4,2,6,5,7,Remain,Part-Time,Yes,text
31,Female,BA,Lab,60-70K,0,4,4,4,8,5,5,Remain,Full-Time,No,text
47,Male,BA,Lib,40-50K,0,5,5,5,10,1,10,Remain,Full-Time,No,text
27,Male,Post2,None,Under10K,0,4,4,4,9,6,10,Remain,Unemployed,Yes,text
33,Male,BA,Lab,10-20K,0,2,2,4,6,5,2,Remain,Full-Time,No,text
42,Female,BA,Lab,20-30K,0,4,4,4,8,5,10,Remain,Part-Time,No,text
24,Female,PG,Lab,70-80K,0,4,4,4,10,5,8,Remain,Unemployed,Yes,text
43,Male,BA,Lab,90-100K,0,5,5,5,9,7,10,Remain,Full-Time,No,text
31,Male,A-lev,Lab,Under10K,0,3,3,3,8,5,5,Remain,Full-Time,No,text
43,Male,Post2,UKIP,30-40K,1,4,4,4,1,1,5,Remain,Not in paid work,No,text
37,Female,Post2,Con,50-60K,0,5,4,5,10,5,5,Remain,Full-Time,No,text
31,Male,GCSEorLess,Lab,Under10K,1,2,2,1,1,9,1,Remain,Part-Time,No,text
53,Female,BA,Con,60-70K,0,4,4,3,5,4,7,Remain,Part-Time,No,text
64,Female,Post2,Lib,10-20K,0,4,4,4,9,5,9,Remain,Not in paid work,No,text
35,Female,BA,Rather_not_say,60-70K,1,4,4,3,4,4,5,Remain,Full-Time,No,text
33,Female,BA,None,40-50K,1,4,4,1,1,1,3,Remain,Part-Time,No,text
47,Female,BA,Lab,Under10K,0,4,4,4,10,5,10,Remain,Not in paid work,No,text
30,Female,BA,Lab,10-20K,0,4,4,4,8,5,9,Remain,Part-Time,No,text
46,Female,GCSEorLess,None,10-20K,0,4,5,4,10,5,5,Remain,Not in paid work,No,text
64,Female,GCSEorLess,None,Over100K,0,5,5,3,10,5,10,Remain,Unemployed,No,text
51,Female,PG,Con,Over100K,0,4,5,4,9,5,10,Remain,Full-Time,No,text
62,Female,PG,Lib,40-50K,0,5,4,4,9,5,9,Remain,Not in paid work,No,text
45,Female,BA,Lab,30-40K,0,4,4,4,9,6,5,Remain,Part-Time,No,text
35,Female,BA,Lab,40-50K,1,2,3,2,3,2,5,Remain,Part-Time,No,text
33,Female,GCSEorLess,Lab,60-70K,0,4,4,3,9,5,10,Remain,Part-Time,No,text
31,Male,BA,Lab,20-30K,0,4,4,4,8,7,9,Remain,Part-Time,No,text
43,Female,A-lev,None,30-40K,1,4,4,2,2,3,9,Remain,Part-Time,No,text
42,Female,GCSEorLess,Con,50-60K,0,4,4,3,7,5,5,Remain,Full-Time,No,text
21,Male,A-lev,Lab,20-30K,0,5,4,4,8,5,8,Remain,Part-Time,Yes,text
22,Female,BA,Rather_not_say,20-30K,0,5,4,4,5,6,2,Remain,Other,Yes,text
46,Male,A-lev,Lab,20-30K,1,3,1,3,2,1,2,Leave,Full-Time,No,text
47,Female,GCSEorLess,SNP,10-20K,1,2,2,2,1,2,1,No vote,Full-Time,No,text
32,Male,A-lev,UKIP,50-60K,1,5,1,2,0,0,0,Leave,Full-Time,No,text
24,Female,PG,Lab,50-60K,0,5,5,5,10,8,10,Leave,Full-Time,Yes,text
26,Male,PG,None,20-30K,0,4,3,4,7,5,5,Leave,Full-Time,No,text
58,Female,GCSEorLess,Con,30-40K,1,2,2,2,0,0,0,Leave,Part-Time,No,text
29,Female,PG,Lab,20-30K,0,5,5,4,9,8,9,No vote,Full-Time,No,text
34,Female,BA,Con,20-30K,1,4,4,2,3,3,4,Leave,Full-Time,No,text
45,Male,BA,Con,50-60K,1,3,2,3,2,3,5,Leave,Full-Time,No,text
54,Female,PG,Grn,60-70K,0,4,3,3,9,5,8,Leave,Full-Time,No,text
