age,gender,education,party,income,too_many_imm,take_jobs,drive_down_wages,create_jobs,brexit_to_cut,increase_imm,sm_or_control,condition,eu_vote,employment,student
39,Male,A-lev,UKIP,20-30K,1,2,2,2,2,2,0,control,Leave,Not in paid work,No
18,Female,A-lev,Lab,90-100K,0,5,4,4,10,5,10,control,No vote,Part-Time,Yes
45,Male,A-lev,Lab,Under10K,1,1,1,1,0,0,10,control,Leave,Full-Time,No
40,Male,BA,None,60-70K,1,1,1,1,0,1,0,control,Leave,Full-Time,No
30,Female,GCSEorLess,Con,30-40K,1,2,2,3,2,3,4,control,No vote,Unemployed,No
20,Female,A-lev,Lab,Under10K,0,3,2,4,3,4,5,control,No vote,Other,Yes
40,Male,A-lev,None,10-20K,1,2,2,2,2,3,4,control,Leave,Full-Time,No
30,Female,BA,Lab,20-30K,1,3,4,2,2,2,5,control,No vote,Full-Time,No
19,Female,BA,Lab,20-30K,0,4,4,4,6,4,9,control,No vote,Unemployed,Yes
25,Male,BA,Lab,30-40K,0,5,4,5,9,3,9,control,No vote,Full-Time,No
33,Male,BA,None,60-70K,0,4,4,3,7,5,9,control,Leave,Other,No
34,Male,BA,Lab,60-70K,1,2,1,1,0,0,1,control,Leave,Full-Time,No
29,Male,GCSEorLess,Lab,40-50K,0,3,2,4,10,5,10,control,Leave,Full-Time,Yes
46,Male,GCSEorLess,Lab,10-20K,1,1,1,2,0,1,1,control,Leave,Not in paid work,No
46,Male,GCSEorLess,Con,20-30K,1,4,4,3,5,6,4,control,Leave,Full-Time,No
49,Male,GCSEorLess,Lab,70-80K,1,2,2,2,1,1,1,control,Leave,Full-Time,No
19,Male,A-lev,Con,10-20K,0,4,2,4,5,5,6,control,No vote,Unemployed,Yes
34,Male,BA,Con,60-70K,1,3,4,2,3,3,5,control,Leave,Full-Time,No
49,Male,Post2,Con,Under10K,1,1,1,3,0,0,0,control,Leave,Not in paid work,No
36,Male,BA,Lib,30-40K,1,4,3,4,4,0,5,control,No vote,Full-Time,Yes
44,Male,A-lev,Lib,Under10K,1,5,5,5,5,3,10,control,Leave,Full-Time,No
41,Male,Post2,Con,Over100K,1,2,3,4,7,3,8,control,No vote,Full-Time,No
56,Female,BA,Con,40-50K,1,2,2,2,1,1,5,control,No vote,Full-Time,No
20,Female,Post2,None,20-30K,1,4,3,3,0,0,5,control,No vote,Part-Time,No
28,Female,GCSEorLess,Lab,Under10K,1,1,1,2,0,9,1,control,No vote,Unemployed,No
53,Male,A-lev,UKIP,60-70K,1,1,1,1,10,0,0,control,Leave,Full-Time,No
18,Male,A-lev,Lab,Under10K,0,5,5,4,9,5,5,control,No vote,Unemployed,Yes
30,Male,BA,Plaid,30-40K,1,2,2,3,7,2,9,control,Leave,Full-Time,No
54,Male,BA,None,10-20K,0,4,4,3,9,5,9,control,No vote,Full-Time,No
47,Male,GCSEorLess,Lab,20-30K,1,1,1,1,0,1,9,control,Leave,Full-Time,No
22,Male,Post2,UKIP,20-30K,1,2,1,2,0,0,2,control,Leave,Part-Time,No
20,Male,A-lev,Lib,20-30K,0,5,5,4,9,6,5,control,No vote,Unemployed,Yes
22,Male,Post2,Con,Under10K,0,4,4,5,7,2,5,control,Leave,Part-Time,Yes
34,Male,GCSEorLess,None,40-50K,1,2,2,2,2,4,3,control,No vote,Full-Time,No
29,Male,BA,Lib,Under10K,0,4,2,2,6,4,7,control,No vote,Unemployed,No
28,Male,BA,None,40-50K,1,4,3,3,3,3,2,control,Leave,Full-Time,No
43,Male,A-lev,UKIP,20-30K,0,4,1,3,7,3,5,control,Leave,Full-Time,No
47,Male,GCSEorLess,Con,30-40K,0,5,4,4,4,2,5,control,Leave,Full-Time,No
50,Male,A-lev,Con,30-40K,0,4,4,3,7,4,6,control,Leave,Part-Time,No
52,Male,GCSEorLess,UKIP,20-30K,1,1,1,1,0,0,0,control,Leave,Not in paid work,No
50,Male,GCSEorLess,Con,50-60K,1,1,1,3,0,0,0,control,Leave,Full-Time,No
58,Male,GCSEorLess,Con,10-20K,1,3,2,2,0,2,0,control,Leave,Not in paid work,No
65,Male,A-lev,UKIP,20-30K,1,2,2,2,1,0,2,control,Leave,Not in paid work,No
18,Male,A-lev,Lab,70-80K,0,5,5,5,10,8,10,control,No vote,Other,Yes
30,Male,PG,Con,40-50K,1,4,2,3,2,1,0,control,Leave,Full-Time,No
19,Male,A-lev,Lib,40-50K,0,4,3,5,9,5,8,control,No vote,Other,Yes
19,Male,A-lev,Lab,Under10K,0,4,3,3,6,4,9,control,No vote,Unemployed,Yes
47,Male,A-lev,UKIP,40-50K,1,2,3,2,0,1,7,control,Leave,Full-Time,No
31,Male,BA,Con,30-40K,0,5,5,4,10,1,10,control,Leave,Full-Time,No
32,Male,GCSEorLess,Con,50-60K,1,4,4,2,3,3,10,control,No vote,Full-Time,No
63,Male,Post2,Con,20-30K,1,2,2,3,1,1,2,control,Leave,Full-Time,No
34,Male,GCSEorLess,None,Under10K,1,2,4,3,2,2,2,control,No vote,Other,No
22,Male,BA,Lab,30-40K,0,3,4,3,4,5,9,control,No vote,Part-Time,No
30,Male,A-lev,None,40-50K,1,2,2,3,0,2,4,control,No vote,Full-Time,No
19,Male,A-lev,Lab,Under10K,1,3,2,3,3,4,1,control,No vote,Other,Yes
20,Male,A-lev,Con,Over100K,0,5,4,3,8,5,10,control,No vote,Other,Yes
28,Male,GCSEorLess,Lab,10-20K,1,1,2,4,1,9,2,control,No vote,Part-Time,No
18,Male,A-lev,Lab,20-30K,1,1,1,2,3,6,6,control,No vote,Part-Time,Yes
60,Male,PG,Con,20-30K,0,4,4,4,9,5,8,control,No vote,Part-Time,No
19,Male,A-lev,Lab,40-50K,0,5,3,4,7,5,9,control,No vote,Unemployed,Yes
20,Male,A-lev,Lib,Over100K,0,4,4,4,8,4,10,control,No vote,Not in paid work,Yes
18,Male,A-lev,None,40-50K,0,3,4,1,5,5,7,control,No vote,Part-Time,Yes
40,Male,BA,None,40-50K,1,4,2,4,2,1,0,control,No vote,Full-Time,No
43,Male,PG,SNP,20-30K,0,3,2,4,4,4,3,control,No vote,Full-Time,No
50,Male,Post2,Con,20-30K,1,3,3,2,7,3,3,control,No vote,Unemployed,No
23,Female,PG,Lab,70-80K,0,5,5,5,10,5,10,text,Remain,Full-Time,No
25,Male,PG,Lib,30-40K,0,5,5,5,10,10,10,text,Remain,Full-Time,No
40,Male,GCSEorLess,Lab,Under10K,0,5,5,5,10,5,10,text,Remain,Unemployed,No
25,Female,PG,Grn,20-30K,0,5,5,5,9,5,9,text,Remain,Unemployed,No
24,Female,BA,Lab,40-50K,0,4,4,3,8,4,7,text,Remain,Part-Time,No
33,Female,PG,SNP,20-30K,0,5,5,1,9,2,8,text,Remain,Full-Time,No
36,Male,A-lev,Lab,60-70K,0,5,5,5,10,7,10,text,Remain,Full-Time,No
43,Female,BA,Con,90-100K,0,5,4,4,4,5,10,text,Remain,Other,No
51,Male,Post2,Grn,70-80K,0,4,3,4,9,5,10,text,Remain,Full-Time,No
41,Male,BA,Grn,80-90K,0,4,4,4,10,6,10,text,Remain,Full-Time,No
30,Female,Post2,Grn,80-90K,0,5,5,4,10,10,10,text,Remain,Full-Time,No
27,Male,BA,None,30-40K,0,5,5,5,10,5,10,text,Remain,Full-Time,No
32,Female,Post2,SNP,20-30K,0,4,5,4,5,5,7,text,Remain,Not in paid work,No
33,Male,BA,Lab,80-90K,0,5,5,5,9,5,8,text,Remain,Full-Time,No
52,Female,PG,Con,10-20K,0,5,4,5,7,5,9,text,Remain,Part-Time,No
30,Male,BA,Lab,20-30K,0,5,5,4,10,5,10,text,Remain,Full-Time,No
21,Male,A-lev,Con,60-70K,0,5,5,5,9,5,10,text,Remain,Part-Time,Yes
56,Male,BA,Lib,20-30K,0,5,4,4,10,5,10,text,Remain,Part-Time,Yes
38,Male,GCSEorLess,Lib,20-30K,0,5,5,5,10,5,10,text,Remain,Full-Time,No
56,Male,Post2,Lib,40-50K,0,5,4,4,10,6,10,text,Remain,Other,No
35,Female,BA,Lab,50-60K,0,4,3,3,9,5,10,text,Remain,Full-Time,Yes
29,Male,A-lev,SNP,50-60K,0,5,3,4,10,8,10,text,Remain,Full-Time,No
32,Male,BA,Lib,20-30K,0,3,2,3,7,5,10,text,Remain,Full-Time,No
27,Female,A-lev,Lab,60-70K,0,4,4,4,8,5,10,text,Remain,Full-Time,No
21,Female,BA,Lab,30-40K,0,4,4,4,8,4,9,text,Remain,Part-Time,No
30,Female,Post2,Rather_not_say,60-70K,1,3,3,4,1,3,1,text,Remain,Part-Time,No
36,Female,PG,Grn,30-40K,0,5,5,3,10,5,10,text,Remain,Part-Time,No
25,Female,PG,Lab,20-30K,0,5,5,4,9,5,10,text,Remain,Not in paid work,No
50,Male,BA,SNP,90-100K,0,5,4,5,10,6,10,text,Remain,Full-Time,No
31,Female,PG,SNP,60-70K,0,5,5,4,10,7,10,text,Remain,Full-Time,No
46,Male,PG,None,90-100K,1,2,2,4,3,4,9,text,Remain,Full-Time,No
29,Male,BA,Lib,50-60K,0,4,4,4,6,5,7,text,Remain,Full-Time,No
23,Male,BA,None,90-100K,0,5,5,4,10,5,10,text,Remain,Part-Time,No
36,Male,A-lev,None,30-40K,0,5,5,4,10,6,10,text,Remain,Full-Time,No
41,Male,PG,Lab,30-40K,0,4,3,4,9,5,10,text,Remain,Full-Time,No
39,Female,PG,Grn,30-40K,0,5,5,4,10,9,10,text,Remain,Not in paid work,No
75,Male,Post2,None,30-40K,0,5,4,4,10,5,10,text,Remain,Not in paid work,No
23,Male,BA,Lab,10-20K,0,3,3,3,5,4,6,text,Remain,Full-Time,No
34,Male,A-lev,SNP,60-70K,0,5,5,5,10,6,10,text,Remain,Full-Time,No
23,Male,PG,Lib,40-50K,0,5,5,5,9,6,9,text,Remain,Unemployed,No
25,Male,BA,Con,30-40K,0,4,4,2,6,5,9,text,Remain,Full-Time,No
21,Male,BA,Lab,40-50K,0,4,2,4,6,5,10,text,Remain,Part-Time,No
26,Male,GCSEorLess,Plaid,70-80K,0,5,5,5,10,5,10,text,Remain,Full-Time,No
21,Male,A-lev,Grn,10-20K,0,4,4,3,4,4,7,text,Remain,Unemployed,No
50,Male,A-lev,Lab,20-30K,0,4,4,3,10,5,10,text,Remain,Unemployed,No
33,Female,BA,Con,50-60K,1,2,3,1,3,2,5,text,Remain,Not in paid work,No
31,Male,A-lev,Lab,60-70K,1,4,5,4,5,3,5,text,Remain,Full-Time,No
39,Female,A-lev,Lab,30-40K,0,5,5,4,9,4,5,text,Remain,Part-Time,No
33,Female,A-lev,None,Under10K,1,4,4,2,3,4,8,text,Remain,Unemployed,No
47,Male,BA,Lab,30-40K,0,5,5,4,10,5,10,text,Remain,Full-Time,Yes
40,Female,A-lev,Con,80-90K,1,4,4,2,2,1,1,text,Remain,Part-Time,No
25,Female,BA,Grn,30-40K,0,4,4,4,5,4,5,text,Remain,Full-Time,Yes
46,Male,BA,Lab,10-20K,0,5,4,4,10,5,10,text,Remain,Part-Time,No
26,Male,PG,Rather_not_say,60-70K,1,3,2,3,3,3,8,text,Remain,Full-Time,Yes
47,Male,A-lev,Lab,60-70K,0,5,4,4,8,5,10,text,Remain,Full-Time,No
21,Male,A-lev,None,Under10K,0,4,4,2,10,5,10,text,Remain,Part-Time,Yes
54,Male,BA,Lab,20-30K,1,2,2,3,2,3,5,text,Remain,Part-Time,No
34,Male,PG,None,90-100K,0,5,5,1,10,7,10,text,Remain,Full-Time,No
46,Male,BA,Grn,10-20K,0,4,4,4,8,5,8,text,Remain,Other,No
19,Male,A-lev,None,Under10K,1,5,4,3,1,7,3,text,Remain,Part-Time,Yes
36,Male,A-lev,Lab,30-40K,0,5,5,5,10,6,10,text,Remain,Full-Time,No
42,Male,BA,None,20-30K,0,4,5,4,9,5,9,text,Remain,Part-Time,Yes
40,Male,A-lev,None,40-50K,1,4,4,4,7,5,10,text,Remain,Full-Time,No
32,Female,BA,Rather_not_say,40-50K,0,4,4,4,8,4,5,text,Remain,Not in paid work,No
39,Female,BA,Plaid,60-70K,1,4,4,4,4,3,9,text,Remain,Full-Time,No
34,Female,A-lev,Lab,50-60K,0,4,4,3,7,2,9,text,Remain,Full-Time,No
46,Male,BA,Lab,70-80K,0,3,2,3,4,5,9,text,Remain,Part-Time,No
21,Male,BA,Lab,60-70K,0,5,5,5,10,6,10,text,Remain,Part-Time,Yes
33,Male,PG,Lib,20-30K,0,4,3,4,8,7,8,text,Remain,Full-Time,No
22,Female,BA,Grn,10-20K,0,5,5,4,10,7,10,text,Remain,Part-Time,Yes
30,Male,PG,Con,70-80K,1,4,4,4,8,3,9,text,Remain,Full-Time,No
53,Male,BA,Lab,50-60K,0,5,5,5,10,5,10,text,Remain,Full-Time,No
23,Male,BA,Lab,20-30K,0,4,4,4,10,7,9,text,Remain,Part-Time,Yes
62,Female,BA,Lib,30-40K,0,5,5,4,10,5,10,text,Remain,Full-Time,No
61,Male,BA,Lab,20-30K,0,5,4,1,10,4,10,text,Remain,Not in paid work,No
69,Female,PG,Lib,20-30K,0,4,4,4,9,6,10,text,Remain,Not in paid work,No
59,Female,GCSEorLess,Con,10-20K,1,3,3,4,5,5,5,text,Remain,Not in paid work,No
23,Female,PG,None,90-100K,0,5,4,4,9,6,8,text,Remain,Part-Time,Yes
44,Female,GCSEorLess,Lab,40-50K,0,5,5,4,10,5,10,text,Remain,Part-Time,Yes
41,Male,PG,Lab,30-40K,0,4,4,4,9,5,8,text,Remain,Full-Time,Yes
44,Female,A-lev,Con,20-30K,0,4,4,3,9,5,5,text,Remain,Not in paid work,No
24,Male,BA,Lab,20-30K,0,5,4,4,8,5,8,text,Remain,Part-Time,No
49,Female,Post2,Con,50-60K,0,3,3,3,5,3,5,text,Remain,Full-Time,No
37,Female,Post2,Con,40-50K,0,5,5,3,10,5,10,text,Remain,Part-Time,No
40,Male,BA,SNP,40-50K,0,4,4,4,9,7,9,text,Remain,Full-Time,No
53,Female,BA,Grn,20-30K,0,5,5,3,10,5,10,text,Remain,Other,No
23,Male,PG,None,30-40K,0,4,4,3,9,6,10,text,Remain,Full-Time,No
24,Female,BA,Lab,10-20K,0,5,5,4,10,5,5,text,Remain,Unemployed,No
27,Female,GCSEorLess,Lab,40-50K,0,5,5,3,9,5,8,text,Remain,Full-Time,No
32,Female,A-lev,SNP,30-40K,0,5,5,1,10,5,10,text,Remain,Unemployed,No
22,Female,BA,Lab,Under10K,0,4,3,4,7,4,5,text,Remain,Part-Time,Yes
21,Female,PG,Lab,50-60K,1,5,4,4,0,4,0,text,Remain,Unemployed,Yes
41,Male,PG,Grn,50-60K,0,5,5,4,10,5,10,text,Remain,Not in paid work,No
54,Female,PG,Lib,50-60K,1,4,4,3,2,4,5,text,Remain,Not in paid work,No
44,Male,PG,SNP,20-30K,0,5,4,4,10,8,10,text,Remain,Full-Time,No
28,Female,A-lev,Lab,40-50K,0,5,5,3,10,5,10,text,Remain,Full-Time,No
61,Male,BA,Lab,40-50K,0,5,5,4,10,5,10,text,Remain,Part-Time,No
28,Female,BA,None,30-40K,0,5,4,4,10,5,9,text,Remain,Not in paid work,Yes
22,Male,A-lev,Lab,20-30K,0,5,5,5,10,7,10,text,Remain,Full-Time,No
34,Male,GCSEorLess,None,80-90K,0,5,5,5,10,5,8,text,Remain,Full-Time,No
37,Male,BA,Lib,20-30K,0,5,5,4,10,5,10,text,Remain,Full-Time,No
35,Female,PG,Lab,40-50K,0,5,5,4,8,5,7,text,Remain,Full-Time,No
40,Female,BA,Con,80-90K,0,5,5,5,9,5,9,text,Remain,Part-Time,No
58,Male,BA,Lab,30-40K,0,5,5,4,9,5,10,text,Remain,Not in paid work,No
26,Female,PG,Lab,10-20K,0,4,4,5,10,5,10,text,Remain,Other,No
55,Male,BA,Con,70-80K,1,5,3,3,5,3,10,text,Remain,Other,No
56,Male,GCSEorLess,Con,50-60K,0,5,5,5,10,8,10,text,Remain,Not in paid work,No
37,Male,BA,Grn,80-90K,0,5,5,5,10,10,10,text,Remain,Full-Time,No
33,Male,BA,Lab,30-40K,0,4,4,4,10,5,10,text,Remain,Full-Time,No
33,Female,BA,Grn,40-50K,0,4,4,2,9,5,9,text,Remain,Full-Time,No
53,Female,BA,Lab,40-50K,0,4,5,4,10,5,10,text,Remain,Not in paid work,No
24,Female,PG,Lab,20-30K,0,4,3,3,6,3,4,text,Remain,Full-Time,No
40,Female,BA,Lab,70-80K,0,4,5,4,9,6,6,text,Remain,Full-Time,No
47,Male,BA,Con,40-50K,0,4,4,4,7,5,5,text,Remain,Full-Time,No
25,Female,PG,Lib,40-50K,0,4,4,4,8,5,9,text,Remain,Full-Time,No
39,Female,BA,Lib,10-20K,0,3,4,3,9,5,7,text,Remain,Full-Time,No
28,Female,BA,Grn,60-70K,0,4,4,3,8,5,9,text,Remain,Full-Time,No
56,Male,PG,None,30-40K,0,4,4,4,10,5,9,text,Remain,Not in paid work,No
34,Male,A-lev,SNP,10-20K,0,5,5,3,8,5,3,text,Remain,Full-Time,No
29,Female,BA,None,30-40K,0,5,2,5,6,6,7,text,Remain,Full-Time,No
49,Female,BA,Lib,40-50K,1,2,2,4,3,2,8,text,Remain,Part-Time,No
58,Female,A-lev,Lib,10-20K,0,5,5,4,10,5,10,text,Remain,Not in paid work,No
22,Male,BA,None,10-20K,0,5,5,4,5,5,5,text,Remain,Full-Time,Yes
45,Female,A-lev,Lab,30-40K,1,4,4,3,9,5,1,text,Remain,Part-Time,No
25,Male,PG,Lab,30-40K,0,4,4,4,8,5,10,text,Remain,Unemployed,No
40,Female,BA,Con,Over100K,0,4,4,2,3,4,9,text,Remain,Not in paid work,No
32,Male,BA,UKIP,60-70K,0,4,3,3,5,3,6,text,Remain,Full-Time,No
52,Female,Post2,SNP,90-100K,1,4,4,3,8,0,3,text,Remain,Full-Time,No
30,Male,BA,Lab,20-30K,0,4,3,4,10,6,10,text,Remain,Full-Time,No
19,Male,A-lev,Lab,Under10K,1,2,4,5,3,6,10,text,Remain,Other,Yes
22,Male,A-lev,Lab,Under10K,0,5,5,5,10,5,10,text,Remain,Other,Yes
23,Female,BA,Lab,20-30K,0,5,5,4,5,5,6,text,Remain,Part-Time,Yes
32,Male,BA,SNP,60-70K,0,4,4,3,5,5,6,text,Remain,Full-Time,No
31,Male,PG,Lab,50-60K,1,4,2,4,4,2,10,text,Remain,Full-Time,No
34,Male,PG,Lib,30-40K,0,4,4,4,9,5,10,text,Remain,Full-Time,No
52,Female,A-lev,Lab,10-20K,1,1,3,3,0,0,0,text,Remain,Part-Time,No
32,Female,PG,Lab,40-50K,0,5,5,4,10,5,10,text,Remain,Full-Time,No
66,Female,GCSEorLess,Con,50-60K,1,3,2,2,2,0,0,text,Remain,Part-Time,No
28,Male,A-lev,None,10-20K,0,4,4,4,5,5,0,text,Remain,Full-Time,No
40,Female,BA,Grn,50-60K,0,4,4,4,6,4,6,text,Remain,Full-Time,Yes
34,Female,BA,Con,60-70K,1,4,4,3,4,4,6,text,Remain,Full-Time,No
27,Female,BA,None,80-90K,0,5,5,4,8,4,5,text,Remain,Full-Time,No
25,Female,BA,Rather_not_say,10-20K,0,5,5,4,10,5,5,text,Remain,Unemployed,No
65,Female,BA,Lab,50-60K,0,5,5,1,10,5,10,text,Remain,Not in paid work,No
26,Female,PG,Lab,50-60K,0,4,4,3,8,4,6,text,Remain,Full-Time,No
38,Female,BA,Grn,20-30K,0,4,4,3,6,5,9,text,Remain,Full-Time,No
21,Female,BA,Grn,Under10K,0,4,4,4,8,6,8,text,Remain,Other,Yes
56,Male,PG,None,Under10K,0,4,3,1,10,5,10,text,Remain,Not in paid work,No
32,Female,PG,Lab,30-40K,0,4,3,5,8,5,10,text,Remain,Full-Time,No
36,Female,PG,SNP,80-90K,0,5,4,4,9,5,8,text,Remain,Full-Time,No
22,Female,GCSEorLess,None,10-20K,1,2,3,4,1,8,5,text,Remain,Part-Time,No
65,Male,BA,Con,30-40K,1,2,2,2,0,0,0,text,Remain,Not in paid work,No
61,Female,BA,Con,40-50K,1,4,4,4,5,4,10,text,Remain,Full-Time,No
33,Male,GCSEorLess,Con,30-40K,0,4,4,4,8,5,10,text,Remain,Full-Time,No
36,Male,BA,SNP,80-90K,0,5,5,4,9,8,10,text,Remain,Full-Time,No
33,Male,PG,Grn,90-100K,0,3,4,4,9,5,8,text,Remain,Full-Time,No
34,Female,BA,Lab,20-30K,0,5,4,4,10,5,10,text,Remain,Full-Time,Yes
61,Male,GCSEorLess,Lab,20-30K,0,5,5,5,9,5,10,text,Remain,Full-Time,No
37,Female,Post2,SNP,60-70K,0,4,4,4,5,5,5,text,Remain,Part-Time,No
33,Male,BA,None,70-80K,0,4,4,4,6,5,5,text,Remain,Full-Time,No
62,Male,BA,Con,70-80K,0,4,2,4,4,3,8,text,Remain,Full-Time,No
37,Female,BA,Lab,40-50K,0,5,5,4,10,5,6,text,Remain,Full-Time,No
36,Male,A-lev,Lab,90-100K,0,5,5,4,10,6,10,text,Remain,Full-Time,No
44,Female,BA,Con,40-50K,0,5,5,4,6,5,8,text,Remain,Other,No
26,Female,BA,Lab,40-50K,0,5,4,4,9,1,9,text,Remain,Part-Time,No
43,Female,BA,Lab,30-40K,0,5,5,4,10,7,10,text,Remain,Part-Time,No
28,Female,BA,Lab,20-30K,0,4,4,4,5,4,6,text,Remain,Full-Time,No
45,Female,GCSEorLess,Lab,30-40K,1,1,1,1,0,0,9,text,Remain,Full-Time,No
59,Female,GCSEorLess,Lab,30-40K,0,4,4,3,10,5,6,text,Remain,Not in paid work,No
31,Male,GCSEorLess,SNP,10-20K,0,5,5,5,9,5,9,text,Remain,Full-Time,No
41,Female,BA,Lab,Over100K,0,4,4,4,9,5,9,text,Remain,Full-Time,No
70,Female,BA,Lab,10-20K,0,5,5,5,10,5,10,text,Remain,Not in paid work,No
37,Female,GCSEorLess,Con,40-50K,0,4,4,4,9,5,9,text,Remain,Full-Time,No
56,Female,GCSEorLess,Lab,Under10K,0,4,4,3,8,5,9,text,Remain,Not in paid work,No
60,Female,BA,Con,50-60K,0,5,4,3,9,5,5,text,Remain,Full-Time,No
47,Male,PG,Lab,70-80K,1,2,2,3,4,4,10,text,Remain,Full-Time,No
50,Male,A-lev,Lab,10-20K,0,5,5,4,8,5,10,text,Remain,Full-Time,No
38,Female,PG,Grn,40-50K,0,5,5,4,10,9,10,text,Remain,Full-Time,No
33,Male,GCSEorLess,Lab,Under10K,1,2,4,1,0,10,0,text,Remain,Part-Time,No
58,Male,BA,None,70-80K,1,4,2,3,4,4,4,text,Remain,Full-Time,No
63,Female,GCSEorLess,Lab,10-20K,0,5,5,4,10,5,10,text,Remain,Not in paid work,No
33,Female,PG,SNP,20-30K,0,5,5,4,9,5,9,text,Remain,Full-Time,No
63,Male,BA,Lib,30-40K,0,3,4,4,9,5,5,text,Remain,Other,No
28,Male,GCSEorLess,Lab,40-50K,1,2,2,4,9,4,4,text,Remain,Not in paid work,No
63,Male,A-lev,Lab,10-20K,0,4,4,4,9,6,10,text,Remain,Not in paid work,No
36,Female,BA,Lab,60-70K,0,5,4,4,10,4,10,text,Remain,Part-Time,No
23,Female,PG,Lab,40-50K,0,4,4,3,8,5,9,text,Remain,Other,No
31,Male,GCSEorLess,Lab,Under10K,1,1,1,1,0,10,0,text,Remain,Full-Time,No
33,Female,Post2,Rather_not_say,60-70K,0,5,4,3,4,5,8,text,Remain,Full-Time,No
35,Male,PG,Lab,30-40K,1,4,4,3,5,6,6,text,Remain,Full-Time,No
24,Male,Post2,Lab,20-30K,0,5,5,5,5,5,5,text,Remain,Full-Time,No
41,Male,PG,Lib,70-80K,1,5,5,5,10,0,10,text,Remain,Full-Time,No
35,Female,PG,Grn,40-50K,0,4,4,3,10,5,10,text,Remain,Not in paid work,No
60,Female,Post2,Lab,30-40K,1,1,2,3,1,1,1,text,Remain,Full-Time,No
20,Female,A-lev,Lab,Over100K,0,5,4,4,7,5,10,text,Remain,Part-Time,Yes
53,Male,BA,Lib,70-80K,0,4,4,4,7,6,8,text,Remain,Full-Time,No
70,Male,A-lev,Lib,20-30K,0,4,4,5,10,5,10,text,Remain,Part-Time,No
63,Male,BA,Grn,50-60K,0,4,4,4,9,4,9,text,Remain,Not in paid work,No
54,Female,GCSEorLess,None,Under10K,0,4,4,4,5,6,5,text,Remain,Not in paid work,No
58,Female,Post2,Rather_not_say,20-30K,0,5,3,4,10,5,5,text,Remain,Full-Time,No
24,Male,BA,None,Under10K,0,4,4,4,10,8,10,text,Remain,Unemployed,Yes
39,Male,PG,Lab,60-70K,0,4,4,4,8,4,8,text,Remain,Full-Time,No
22,Female,A-lev,Lab,70-80K,0,5,5,4,10,5,9,text,Remain,Full-Time,No
49,Female,PG,Lab,30-40K,0,5,5,4,10,6,10,text,Remain,Full-Time,No
29,Female,BA,None,30-40K,1,3,3,2,0,2,9,text,Remain,Part-Time,No
20,Female,Post2,Lab,70-80K,0,5,5,3,9,4,10,text,Remain,Unemployed,Yes
60,Male,Post2,SNP,40-50K,1,2,2,2,0,1,3,text,Remain,Full-Time,No
28,Female,BA,SNP,50-60K,0,5,5,4,10,5,10,text,Remain,Full-Time,No
23,Male,BA,None,30-40K,0,4,5,4,9,5,10,text,Remain,Full-Time,No
46,Female,BA,None,50-60K,0,5,4,3,5,5,3,text,Remain,Not in paid work,No
45,Female,Post2,SNP,30-40K,0,4,4,4,8,5,10,text,Remain,Part-Time,Yes
25,Male,PG,Lab,50-60K,0,4,4,4,10,4,9,text,Remain,Other,Yes
57,Female,GCSEorLess,SNP,20-30K,0,4,3,4,9,9,9,text,Remain,Not in paid work,No
28,Male,BA,Con,80-90K,0,4,4,4,8,5,5,text,Remain,Full-Time,No
29,Female,GCSEorLess,Con,30-40K,1,2,2,4,4,3,6,text,Remain,Part-Time,No
40,Female,PG,None,50-60K,0,4,4,3,9,5,9,text,Remain,Full-Time,No
40,Male,BA,Lab,40-50K,0,5,5,5,9,6,5,text,Remain,Full-Time,No
50,Female,A-lev,Con,20-30K,0,5,4,4,10,5,5,text,Remain,Full-Time,No
38,Female,BA,Con,30-40K,0,4,4,3,7,5,5,text,Remain,Full-Time,No
37,Male,PG,Lab,70-80K,0,5,5,4,10,5,10,text,Remain,Full-Time,No
27,Female,PG,Lab,30-40K,0,5,5,3,10,7,5,text,Remain,Other,No
38,Female,BA,Lab,60-70K,1,3,4,3,3,3,8,text,Remain,Full-Time,No
56,Male,GCSEorLess,Con,40-50K,0,4,4,3,4,4,8,text,Remain,Full-Time,No
50,Male,Post2,Lab,30-40K,0,4,4,4,8,4,8,text,Remain,Full-Time,No
29,Male,BA,Lab,70-80K,0,5,5,3,9,5,9,text,Remain,Full-Time,No
38,Female,BA,Rather_not_say,30-40K,0,4,4,4,10,5,5,text,Remain,Full-Time,No
31,Female,BA,Lab,10-20K,0,5,5,5,10,7,10,text,Remain,Part-Time,No
23,Female,PG,Lab,Under10K,0,4,4,4,3,4,5,text,Remain,Part-Time,Yes
39,Female,BA,Lab,40-50K,0,5,3,4,10,3,10,text,Remain,Other,Yes
22,Male,PG,Con,10-20K,0,4,4,4,8,5,8,text,Remain,Other,Yes
39,Male,PG,SNP,20-30K,0,5,5,5,10,7,10,text,Remain,Full-Time,Yes
31,Female,BA,Lab,60-70K,0,4,4,4,8,5,5,text,Remain,Full-Time,No
47,Male,BA,Lib,40-50K,0,5,5,5,10,1,10,text,Remain,Full-Time,No
27,Male,Post2,None,Under10K,0,4,4,4,9,6,10,text,Remain,Unemployed,Yes
33,Male,BA,Lab,10-20K,0,2,2,4,6,5,2,text,Remain,Full-Time,No
42,Female,BA,Lab,20-30K,0,4,4,4,8,5,10,text,Remain,Part-Time,No
24,Female,PG,Lab,70-80K,0,4,4,4,10,5,8,text,Remain,Unemployed,Yes
