age,gender,education,party,income,time_on_page,too_many_imm,take_jobs,drive_down_wages,create_jobs,brexit_to_cut,increase_imm,sm_or_control,condition,eu_vote,employment,student
47,Female,A-level or equivalent,None of the above,"£10,000-19,999",NA,"Yes, too many",Strongly agree,Strongly agree,Strongly disagree,10,0,10,control,Leave,Not in paid work,No
37,Male,Post-secondary below-degree level qualification,Labour,"£30,000-39,999",NA,"Yes, too many",Agree,Agree,Disagree,6,7,5,control,Leave,Full-Time,No
39,Female,"Postgraduate degree or equivalent qualification (MA, MSc, PGCE, PhD etc.)",Labour,"£70,000-79,999",NA,"No, not too many",Disagree,Disagree,Agree,2,5,5,control,Leave,Full-Time,No
19,Female,A-level or equivalent,Labour,"£60,000-69,999",NA,"No, not too many","Neither agree, nor disagree","Neither agree, nor disagree",Agree,1,5,not applicable,control,No vote,Other,Yes
39,Female,A-level or equivalent,Labour,"£20,000-29,999",NA,"No, not too many",Disagree,Disagree,Agree,3,4,not applicable,control,No vote,,
22,Male,GCSE or equivalent,UKIP,"£10,000-19,999",NA,"Yes, too many",Strongly agree,Disagree,Disagree,not applicable,not applicable,4,control,Leave,Full-Time,No
24,Female,A-level or equivalent,Labour,"£60,000-69,999",NA,"Yes, too many",Strongly disagree,Strongly disagree,Strongly disagree,9,2,6,control,Leave,Full-Time,No
65,Male,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Conservatives,"£50,000-59,999",NA,"No, not too many",Disagree,"Neither agree, nor disagree",Agree,2,7,8,control,Leave,Not in paid work,No
52,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Conservatives,Would rather not say,NA,"Yes, too many",Agree,Agree,Agree,not applicable,4,not applicable,control,Leave,Not in paid work,No
41,Female,A-level or equivalent,None of the above,"£40,000-49,999",NA,"Yes, too many",Agree,Disagree,Agree,8,3,8,control,Leave,Part-Time,No
33,Female,A-level or equivalent,Labour,"£10,000-19,999",NA,"Yes, too many",Disagree,"Neither agree, nor disagree",Disagree,6,4,5,control,Leave,Full-Time,No
40,Male,"Postgraduate degree or equivalent qualification (MA, MSc, PGCE, PhD etc.)",Conservatives,Would rather not say,NA,"Yes, too many","Neither agree, nor disagree",Agree,"Neither agree, nor disagree",10,1,10,control,Leave,Full-Time,No
33,Male,"Postgraduate degree or equivalent qualification (MA, MSc, PGCE, PhD etc.)",Labour,"£10,000-19,999",NA,"Yes, too many",Agree,Agree,Agree,9,1,7,control,Leave,Full-Time,No
25,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Labour,"£80,000-89,999",NA,"No, not too many",Disagree,Agree,"Neither agree, nor disagree",2,5,5,control,No vote,Full-Time,No
28,Female,A-level or equivalent,None of the above,"£20,000-29,999",NA,"Yes, too many",Disagree,Disagree,"Neither agree, nor disagree",10,0,10,control,Leave,Not in paid work,No
48,Female,"Postgraduate degree or equivalent qualification (MA, MSc, PGCE, PhD etc.)",None of the above,"£20,000-29,999",NA,"Yes, too many",Disagree,Agree,"Neither agree, nor disagree",7,3,5,control,Leave,Full-Time,No
55,Male,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Conservatives,"£50,000-59,999",NA,"No, not too many",Disagree,Disagree,"Neither agree, nor disagree",3,5,3,control,Leave,Full-Time,No
34,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Conservatives,"£20,000-29,999",NA,"Yes, too many",Disagree,Disagree,Agree,8,3,10,control,Leave,Full-Time,No
33,Female,GCSE or equivalent,None of the above,"Under £10,000",NA,"Yes, too many",Strongly agree,Agree,Disagree,9,2,not applicable,control,No vote,,No
59,Female,"Postgraduate degree or equivalent qualification (MA, MSc, PGCE, PhD etc.)",None of the above,Would rather not say,NA,"Yes, too many",Disagree,"Neither agree, nor disagree",Disagree,7,4,not applicable,control,Leave,Other,No
23,Female,GCSE or equivalent,UKIP,"£30,000-39,999",NA,"Yes, too many",Strongly agree,Strongly agree,Strongly disagree,10,0,9,control,Leave,Full-Time,No
48,Female,GCSE or equivalent,None of the above,"£20,000-29,999",NA,"Yes, too many",Agree,Strongly disagree,Agree,10,5,5,control,Leave,Unemployed,No
64,Female,GCSE or equivalent,Conservatives,"£20,000-29,999",NA,"Yes, too many",Agree,Agree,"Neither agree, nor disagree",6,4,1,control,Leave,Part-Time,No
19,Female,GCSE or equivalent,Liberal Democrats,Would rather not say,NA,"Yes, too many","Neither agree, nor disagree","Neither agree, nor disagree","Neither agree, nor disagree",8,3,not applicable,control,No vote,Not in paid work,
65,Female,Post-secondary below-degree level qualification,Conservatives,"£10,000-19,999",NA,"Yes, too many",Agree,Strongly agree,"Neither agree, nor disagree",8,2,4,control,Leave,Not in paid work,No
56,Female,GCSE or equivalent,Labour,"Under £10,000",NA,"Yes, too many",Agree,Agree,Disagree,8,1,not applicable,control,Leave,Not in paid work,No
31,Male,"Postgraduate degree or equivalent qualification (MA, MSc, PGCE, PhD etc.)",Conservatives,"£30,000-39,999",NA,"Yes, too many","Neither agree, nor disagree",Agree,"Neither agree, nor disagree",7,3,10,control,Leave,Full-Time,No
50,Male,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Conservatives,"£50,000-59,999",NA,"Yes, too many","Neither agree, nor disagree",Strongly agree,Agree,7,4,not applicable,control,Leave,Full-Time,No
20,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Green Party,"£30,000-39,999",NA,"No, not too many",Strongly disagree,Disagree,Disagree,3,4,3,control,Leave,Other,Yes
51,Female,GCSE or equivalent,UKIP,"£10,000-19,999",NA,"Yes, too many",Disagree,"Neither agree, nor disagree","Neither agree, nor disagree",10,0,10,control,Leave,Not in paid work,No
62,Male,No educational qualification,Conservatives,"£20,000-29,999",NA,"Yes, too many",Agree,Agree,Disagree,8,3,8,control,Leave,Full-Time,No
28,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",None of the above,"£30,000-39,999",NA,"Yes, too many",Disagree,"Neither agree, nor disagree","Neither agree, nor disagree",9,3,8,control,Leave,Not in paid work,No
36,Female,GCSE or equivalent,Labour,"£30,000-39,999",NA,"Yes, too many",Disagree,Disagree,Agree,9,3,10,control,No vote,Full-Time,No
28,Female,Post-secondary below-degree level qualification,UKIP,"£10,000-19,999",NA,"Yes, too many",Strongly agree,Agree,Strongly disagree,10,0,8,control,No vote,Part-Time,No
54,Male,GCSE or equivalent,UKIP,"£40,000-49,999",NA,"Yes, too many",Agree,Strongly agree,Strongly disagree,10,0,10,control,Leave,Full-Time,No
49,Male,Post-secondary below-degree level qualification,Conservatives,"£10,000-19,999",NA,"Yes, too many",Strongly agree,Strongly agree,Strongly disagree,10,10,10,control,Leave,Other,No
52,Male,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Labour,"£70,000-79,999",NA,"Yes, too many",Agree,Agree,Disagree,9,1,9,control,Leave,Full-Time,Yes
19,Female,Post-secondary below-degree level qualification,Labour,"£60,000-69,999",NA,"No, not too many",Strongly disagree,Disagree,Agree,0,7,0,control,No vote,Part-Time,Yes
24,Female,A-level or equivalent,None of the above,"£40,000-49,999",NA,Don't know / not sure,"Neither agree, nor disagree","Neither agree, nor disagree","Neither agree, nor disagree",5,not applicable,not applicable,control,Leave,Not in paid work,No
19,Female,Post-secondary below-degree level qualification,None of the above,"Under £10,000",NA,"No, not too many",Strongly disagree,Strongly disagree,Strongly agree,1,6,1,control,No vote,Not in paid work,Yes
37,Female,Post-secondary below-degree level qualification,Labour,"Under £10,000",NA,"Yes, too many",Agree,Agree,"Neither agree, nor disagree",10,0,5,control,Leave,Not in paid work,No
28,Male,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",UKIP,"£20,000-29,999",NA,"Yes, too many","Neither agree, nor disagree","Neither agree, nor disagree",Disagree,10,0,10,control,No vote,Full-Time,No
60,Male,A-level or equivalent,Labour,"£40,000-49,999",NA,"Yes, too many",Disagree,Strongly agree,Disagree,10,2,10,control,Leave,Not in paid work,No
31,Female,A-level or equivalent,None of the above,"£50,000-59,999",NA,"Yes, too many",Agree,Strongly agree,Strongly disagree,10,0,10,control,Leave,Part-Time,No
50,Male,A-level or equivalent,Labour,"£10,000-19,999",NA,"Yes, too many","Neither agree, nor disagree",Agree,Disagree,9,2,9,control,NA,NA,NA
29,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Conservatives,"Under £10,000",NA,"Yes, too many","Neither agree, nor disagree",Agree,Disagree,9,0,8,control,No vote,Full-Time,No
59,Female,GCSE or equivalent,Labour,"£20,000-29,999",NA,"Yes, too many",Strongly agree,Strongly agree,Disagree,10,0,10,control,Leave,Not in paid work,No
30,Male,GCSE or equivalent,UKIP,"£30,000-39,999",NA,"Yes, too many",Agree,Agree,Strongly disagree,9,1,8,control,Leave,Part-Time,No
48,Female,GCSE or equivalent,None of the above,Would rather not say,NA,Don't know / not sure,"Neither agree, nor disagree",Disagree,"Neither agree, nor disagree",5,3,5,control,No vote,Not in paid work,No
22,Male,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Labour,"£20,000-29,999",NA,Don't know / not sure,Disagree,Disagree,Agree,0,6,5,control,No vote,Full-Time,No
57,Female,GCSE or equivalent,Conservatives,"£10,000-19,999",NA,"Yes, too many",Agree,Agree,Disagree,8,0,9,control,Leave,Not in paid work,No
62,Female,GCSE or equivalent,Labour,"£20,000-29,999",NA,"Yes, too many","Neither agree, nor disagree",Agree,"Neither agree, nor disagree",8,2,5,control,Leave,Not in paid work,No
30,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Labour,"£50,000-59,999",NA,"Yes, too many",Disagree,Disagree,Agree,5,4,5,control,Leave,Full-Time,No
46,Female,A-level or equivalent,Conservatives,"£30,000-39,999",NA,"Yes, too many",Agree,Agree,Agree,10,0,5,control,NA,NA,NA
60,Male,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Conservatives,"£30,000-39,999",NA,"Yes, too many","Neither agree, nor disagree",Agree,Disagree,8,3,10,control,Leave,Full-Time,No
43,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Labour,"£70,000-79,999",NA,"Yes, too many",Agree,Strongly agree,Disagree,9,1,9,control,Leave,Part-Time,No
27,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",None of the above,"£50,000-59,999",NA,"Yes, too many",Agree,"Neither agree, nor disagree",Disagree,9,1,5,control,Leave,Not in paid work,No
55,Male,GCSE or equivalent,Labour,"£30,000-39,999",NA,"Yes, too many",Strongly agree,Strongly agree,Strongly disagree,10,0,0,control,Leave,Not in paid work,No
33,Female,"Postgraduate degree or equivalent qualification (MA, MSc, PGCE, PhD etc.)",Labour,"£50,000-59,999",NA,"No, not too many",Disagree,"Neither agree, nor disagree",Disagree,3,5,7,control,NA,NA,NA
47,Female,A-level or equivalent,Conservatives,"£40,000-49,999",NA,"Yes, too many",Agree,Strongly agree,Disagree,10,2,7,control,Leave,Part-Time,No
38,Female,GCSE or equivalent,None of the above,"£40,000-49,999",NA,Don't know / not sure,"Neither agree, nor disagree",Disagree,"Neither agree, nor disagree",5,not applicable,5,control,No vote,Part-Time,No
31,Female,"Postgraduate degree or equivalent qualification (MA, MSc, PGCE, PhD etc.)",Conservatives,Would rather not say,NA,"Yes, too many",Disagree,Disagree,"Neither agree, nor disagree",8,1,8,control,Leave,Part-Time,No
27,Female,"Postgraduate degree or equivalent qualification (MA, MSc, PGCE, PhD etc.)",None of the above,"£50,000-59,999",NA,"Yes, too many",Disagree,Disagree,Disagree,10,0,10,control,Leave,Full-Time,No
48,Female,Post-secondary below-degree level qualification,Conservatives,"£70,000-79,999",NA,"Yes, too many",Agree,Strongly agree,"Neither agree, nor disagree",10,0,10,control,Leave,Full-Time,No
24,Female,A-level or equivalent,Conservatives,"£40,000-49,999",NA,"Yes, too many",Agree,Agree,Disagree,7,2,7,control,No vote,Full-Time,No
35,Male,A-level or equivalent,Conservatives,"£30,000-39,999",NA,"Yes, too many",Agree,"Neither agree, nor disagree","Neither agree, nor disagree",9,2,4,control,Leave,Full-Time,No
28,Male,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Conservatives,"£20,000-29,999",NA,"No, not too many",Disagree,"Neither agree, nor disagree","Neither agree, nor disagree",4,6,6,control,No vote,Full-Time,No
32,Male,Post-secondary below-degree level qualification,Labour,"£30,000-39,999",NA,"No, not too many",Disagree,Disagree,Agree,6,5,5,control,Leave,Full-Time,No
21,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Would rather not say,"£60,000-69,999",NA,"No, not too many",Disagree,Disagree,"Neither agree, nor disagree",7,4,5,control,Leave,Part-Time,No
53,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",None of the above,"£20,000-29,999",NA,"Yes, too many",Strongly agree,Strongly agree,Strongly disagree,10,0,10,control,Leave,Part-Time,No
47,Female,GCSE or equivalent,Labour,"£10,000-19,999",NA,"Yes, too many","Neither agree, nor disagree","Neither agree, nor disagree",Disagree,6,4,2,control,Leave,Not in paid work,No
32,Female,Post-secondary below-degree level qualification,Conservatives,"£30,000-39,999",NA,"Yes, too many",Agree,Strongly agree,Disagree,10,1,7,control,Leave,Not in paid work,No
58,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",None of the above,"£20,000-29,999",NA,"Yes, too many",Disagree,Strongly agree,Disagree,9,2,8,control,Leave,Not in paid work,No
19,Female,A-level or equivalent,Conservatives,Would rather not say,NA,Don't know / not sure,Disagree,"Neither agree, nor disagree",Agree,not applicable,not applicable,0,control,No vote,Part-Time,Yes
35,Male,"Postgraduate degree or equivalent qualification (MA, MSc, PGCE, PhD etc.)",None of the above,"£30,000-39,999",NA,"Yes, too many",Agree,Agree,Agree,5,4,4,control,Leave,Full-Time,No
21,Male,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Liberal Democrats,"£30,000-39,999",NA,"No, not too many",Disagree,Disagree,Agree,2,5,1,control,No vote,Full-Time,Yes
57,Female,"Postgraduate degree or equivalent qualification (MA, MSc, PGCE, PhD etc.)",Conservatives,Would rather not say,NA,"Yes, too many",Agree,Agree,Disagree,9,2,9,control,Leave,Part-Time,No
38,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",None of the above,"Under £10,000",NA,"Yes, too many",Disagree,Agree,"Neither agree, nor disagree",8,1,5,control,Leave,Full-Time,No
29,Female,Post-secondary below-degree level qualification,Conservatives,"£10,000-19,999",NA,"Yes, too many",Disagree,"Neither agree, nor disagree",Agree,8,9,8,control,Leave,Full-Time,No
24,Female,GCSE or equivalent,Would rather not say,"£10,000-19,999",NA,"No, not too many",Strongly disagree,Disagree,"Neither agree, nor disagree",0,5,5,control,No vote,Due to start work,Yes
51,Male,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",None of the above,Would rather not say,NA,"Yes, too many",Agree,Agree,Disagree,10,1,10,control,Leave,Part-Time,No
20,Male,A-level or equivalent,Conservatives,"Over £100,000",NA,"No, not too many",Strongly disagree,Strongly disagree,Strongly agree,2,7,3,control,No vote,Not in paid work,Yes
20,Female,A-level or equivalent,Liberal Democrats,Would rather not say,NA,"No, not too many",Disagree,Disagree,Agree,1,7,3,control,No vote,Other,Yes
52,Female,GCSE or equivalent,Green Party,Would rather not say,NA,"Yes, too many","Neither agree, nor disagree","Neither agree, nor disagree","Neither agree, nor disagree",8,2,8,control,Leave,Not in paid work,No
48,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Conservatives,Would rather not say,NA,"Yes, too many",Agree,Agree,Disagree,7,1,9,control,No vote,Not in paid work,No
33,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Labour,"£30,000-39,999",NA,"Yes, too many","Neither agree, nor disagree","Neither agree, nor disagree","Neither agree, nor disagree",8,2,5,control,Leave,Full-Time,No
24,Female,A-level or equivalent,UKIP,"£30,000-39,999",NA,"Yes, too many",Agree,"Neither agree, nor disagree","Neither agree, nor disagree",7,2,not applicable,control,Leave,Full-Time,No
47,Female,GCSE or equivalent,Labour,"£10,000-19,999",NA,"Yes, too many","Neither agree, nor disagree",Disagree,"Neither agree, nor disagree",7,3,8,control,Leave,Not in paid work,No
54,Male,A-level or equivalent,Scottish National Party,"Under £10,000",NA,"No, not too many",Disagree,Strongly disagree,Strongly agree,0,8,5,control,Leave,Unemployed,No
30,Female,A-level or equivalent,Labour,"£10,000-19,999",NA,"Yes, too many","Neither agree, nor disagree",Disagree,Disagree,8,3,5,control,Leave,Full-Time,No
54,Female,GCSE or equivalent,Conservatives,"£10,000-19,999",NA,"Yes, too many",Agree,Agree,"Neither agree, nor disagree",8,2,10,control,Leave,Full-Time,No
33,Female,Post-secondary below-degree level qualification,None of the above,"£30,000-39,999",NA,"Yes, too many",Agree,Disagree,Disagree,8,0,6,control,NA,NA,NA
20,Male,A-level or equivalent,Labour,"Over £100,000",NA,"No, not too many",Disagree,Disagree,Agree,3,4,2,control,No vote,Other,Yes
20,Male,A-level or equivalent,Conservatives,"Over £100,000",NA,"No, not too many",Strongly disagree,Strongly disagree,Agree,3,5,2,control,No vote,Part-Time,No
50,Male,GCSE or equivalent,None of the above,"Under £10,000",NA,"Yes, too many",Agree,Strongly agree,Disagree,9,1,9,control,Leave,Unemployed,No
28,Female,A-level or equivalent,Conservatives,"£40,000-49,999",NA,"Yes, too many",Disagree,"Neither agree, nor disagree","Neither agree, nor disagree",8,2,5,control,Leave,Full-Time,No
26,Female,Post-secondary below-degree level qualification,Conservatives,"£10,000-19,999",NA,"Yes, too many",Agree,Agree,Strongly disagree,7,1,5,control,No vote,Not in paid work,No
26,Female,A-level or equivalent,Labour,"£20,000-29,999",NA,"Yes, too many",Agree,Agree,"Neither agree, nor disagree",10,0,7,control,Leave,Part-Time,No
39,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Scottish National Party,"£30,000-39,999",NA,"No, not too many",Strongly disagree,Disagree,Disagree,2,5,1,control,Leave,Not in paid work,No
42,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Conservatives,"£40,000-49,999",NA,"Yes, too many",Agree,Agree,Disagree,9,9,7,control,Leave,Full-Time,No
21,Female,A-level or equivalent,Liberal Democrats,"£20,000-29,999",NA,Don't know / not sure,Disagree,Strongly disagree,"Neither agree, nor disagree",5,4,8,control,Leave,Part-Time,Yes
31,Male,GCSE or equivalent,None of the above,"£10,000-19,999",NA,"Yes, too many","Neither agree, nor disagree","Neither agree, nor disagree","Neither agree, nor disagree",5,8,7,control,No vote,Full-Time,No
26,Male,A-level or equivalent,None of the above,"£20,000-29,999",NA,"Yes, too many",Disagree,Disagree,Agree,10,8,10,control,No vote,Full-Time,No
29,Female,GCSE or equivalent,Labour,"£10,000-19,999",NA,"Yes, too many",Strongly disagree,Disagree,Strongly disagree,9,3,10,control,No vote,Not in paid work,No
22,Male,Post-secondary below-degree level qualification,None of the above,"£10,000-19,999",NA,"No, not too many",Disagree,Agree,"Neither agree, nor disagree",0,6,0,control,No vote,Not in paid work,Yes
38,Female,GCSE or equivalent,Labour,"£10,000-19,999",NA,"No, not too many",Disagree,Disagree,Agree,2,5,5,control,No vote,Not in paid work,No
30,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",None of the above,"£30,000-39,999",NA,"No, not too many",Disagree,Disagree,"Neither agree, nor disagree",5,5,9,control,No vote,Full-Time,No
54,Male,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Conservatives,"£50,000-59,999",NA,"Yes, too many",Agree,Strongly agree,Disagree,10,0,10,control,Leave,Part-Time,No
53,Male,GCSE or equivalent,UKIP,"£30,000-39,999",NA,"Yes, too many",Strongly agree,Strongly agree,Disagree,10,0,8,control,Leave,Full-Time,No
48,Female,GCSE or equivalent,None of the above,"£10,000-19,999",NA,"Yes, too many",Agree,"Neither agree, nor disagree",Disagree,9,1,8,control,No vote,Full-Time,No
29,Female,GCSE or equivalent,None of the above,"£30,000-39,999",NA,"Yes, too many",Disagree,Agree,Disagree,6,2,6,control,Leave,Part-Time,No
29,Female,A-level or equivalent,Conservatives,"£40,000-49,999",NA,"Yes, too many",Strongly disagree,Strongly disagree,"Neither agree, nor disagree",10,2,10,control,Leave,Full-Time,No
24,Male,Post-secondary below-degree level qualification,None of the above,"£30,000-39,999",NA,"Yes, too many",Disagree,"Neither agree, nor disagree",Strongly agree,not applicable,1,5,control,No vote,Full-Time,No
37,Female,"Postgraduate degree or equivalent qualification (MA, MSc, PGCE, PhD etc.)",Conservatives,"£30,000-39,999",NA,"Yes, too many","Neither agree, nor disagree","Neither agree, nor disagree","Neither agree, nor disagree",7,3,8,control,Leave,Not in paid work,No
29,Female,"Postgraduate degree or equivalent qualification (MA, MSc, PGCE, PhD etc.)",Conservatives,"Over £100,000",NA,"Yes, too many",Disagree,Agree,Agree,9,5,7,control,No vote,,No
26,Female,"Postgraduate degree or equivalent qualification (MA, MSc, PGCE, PhD etc.)",None of the above,"£20,000-29,999",NA,"No, not too many",Strongly disagree,Disagree,"Neither agree, nor disagree",3,4,1,control,No vote,Full-Time,No
51,Male,GCSE or equivalent,Labour,"£20,000-29,999",NA,"Yes, too many","Neither agree, nor disagree",Disagree,"Neither agree, nor disagree",7,3,5,control,Leave,Full-Time,No
43,Male,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Conservatives,"£10,000-19,999",NA,"Yes, too many",Strongly disagree,Strongly agree,Strongly disagree,10,0,10,control,Leave,,
40,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Conservatives,"£70,000-79,999",NA,"No, not too many",Disagree,Disagree,Agree,4,4,4,control,Leave,Full-Time,No
29,Female,A-level or equivalent,None of the above,"£40,000-49,999",NA,"No, not too many",Strongly disagree,Disagree,"Neither agree, nor disagree",8,3,8,control,No vote,Full-Time,No
33,Female,A-level or equivalent,Labour,"£20,000-29,999",NA,"Yes, too many","Neither agree, nor disagree",Disagree,"Neither agree, nor disagree",6,3,5,control,Leave,Full-Time,No
33,Male,Post-secondary below-degree level qualification,None of the above,"£30,000-39,999",NA,"Yes, too many",Agree,Strongly agree,Agree,8,1,10,control,Leave,Part-Time,No
20,Male,A-level or equivalent,Labour,"£30,000-39,999",NA,"Yes, too many",Strongly agree,Agree,"Neither agree, nor disagree",6,8,8,control,No vote,Unemployed,Yes
50,Male,GCSE or equivalent,Liberal Democrats,"£10,000-19,999",NA,"No, not too many","Neither agree, nor disagree","Neither agree, nor disagree",Agree,2,7,1,control,No vote,Not in paid work,No
45,Male,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Conservatives,Would rather not say,NA,"Yes, too many",Agree,Agree,Agree,6,4,6,control,No vote,Full-Time,No
27,Female,GCSE or equivalent,None of the above,"£10,000-19,999",NA,"Yes, too many","Neither agree, nor disagree","Neither agree, nor disagree",Disagree,6,4,4,control,No vote,Full-Time,No
19,Male,A-level or equivalent,Scottish National Party,"£40,000-49,999",NA,"No, not too many",Disagree,Strongly disagree,Strongly agree,0,5,0,control,No vote,Other,Yes
18,Female,A-level or equivalent,Labour,Would rather not say,NA,"No, not too many","Neither agree, nor disagree","Neither agree, nor disagree","Neither agree, nor disagree",0,5,1,control,No vote,Unemployed,Yes
61,Female,A-level or equivalent,None of the above,"£30,000-39,999",NA,"Yes, too many",Agree,Strongly agree,Disagree,10,1,5,control,No vote,Full-Time,No
20,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Conservatives,"£10,000-19,999",NA,"No, not too many",Disagree,Disagree,Agree,9,1,1,control,No vote,Part-Time,Yes
24,Female,Post-secondary below-degree level qualification,Labour,"£70,000-79,999",NA,"No, not too many",Strongly disagree,Strongly disagree,Agree,2,5,0,control,No vote,Full-Time,Yes
21,Male,A-level or equivalent,Labour,"£20,000-29,999",NA,"No, not too many","Neither agree, nor disagree",Disagree,"Neither agree, nor disagree",6,4,5,control,Leave,Full-Time,Yes
38,Male,GCSE or equivalent,None of the above,"£20,000-29,999",NA,Don't know / not sure,"Neither agree, nor disagree",Agree,Disagree,7,7,5,control,No vote,Full-Time,No
34,Male,GCSE or equivalent,None of the above,"£80,000-89,999",NA,"No, not too many",Strongly disagree,Strongly disagree,"Neither agree, nor disagree",0,9,8,control,Leave,Full-Time,No
30,Male,GCSE or equivalent,None of the above,"£10,000-19,999",NA,"No, not too many","Neither agree, nor disagree",Agree,"Neither agree, nor disagree",4,4,2,control,No vote,Unemployed,No
27,Male,Post-secondary below-degree level qualification,Conservatives,"£10,000-19,999",NA,"Yes, too many",Agree,"Neither agree, nor disagree","Neither agree, nor disagree",8,2,5,control,Leave,Full-Time,No
33,Female,"Postgraduate degree or equivalent qualification (MA, MSc, PGCE, PhD etc.)",None of the above,Would rather not say,NA,"Yes, too many",Agree,"Neither agree, nor disagree",Disagree,6,5,5,control,No vote,Part-Time,No
51,Male,A-level or equivalent,Labour,"£30,000-39,999",NA,"Yes, too many","Neither agree, nor disagree",Strongly agree,Disagree,9,10,2,control,Leave,Full-Time,No
20,Female,A-level or equivalent,Labour,"£30,000-39,999",NA,"No, not too many",Disagree,Disagree,Agree,3,5,3,control,No vote,Part-Time,Yes
21,Female,A-level or equivalent,None of the above,"Under £10,000",NA,"Yes, too many",Disagree,Agree,Agree,6,4,5,control,No vote,Part-Time,Yes
20,Male,A-level or equivalent,Would rather not say,"£60,000-69,999",NA,"No, not too many",Disagree,"Neither agree, nor disagree",Disagree,2,3,0,control,No vote,Other,Yes
29,Female,GCSE or equivalent,None of the above,"£40,000-49,999",NA,"Yes, too many",Strongly disagree,Disagree,"Neither agree, nor disagree",5,1,not applicable,control,No vote,Full-Time,No
20,Female,A-level or equivalent,Conservatives,"Under £10,000",NA,"Yes, too many",Agree,Agree,Disagree,7,7,6,control,No vote,Part-Time,Yes
66,Male,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Conservatives,"£70,000-79,999",NA,"Yes, too many","Neither agree, nor disagree",Agree,"Neither agree, nor disagree",7,3,7,control,Leave,Not in paid work,No
36,Female,A-level or equivalent,None of the above,"£20,000-29,999",NA,"No, not too many",Disagree,Disagree,Agree,7,5,3,control,Leave,Full-Time,No
34,Female,GCSE or equivalent,None of the above,"£20,000-29,999",NA,"Yes, too many","Neither agree, nor disagree",Strongly agree,"Neither agree, nor disagree",7,3,9,control,No vote,Not in paid work,No
23,Male,A-level or equivalent,None of the above,"£20,000-29,999",NA,"No, not too many",Disagree,"Neither agree, nor disagree",Agree,2,5,1,control,No vote,Not in paid work,No
51,Male,"Postgraduate degree or equivalent qualification (MA, MSc, PGCE, PhD etc.)",Labour,"£60,000-69,999",NA,"Yes, too many","Neither agree, nor disagree",Disagree,"Neither agree, nor disagree",6,2,1,control,Leave,Full-Time,No
26,Female,Would rather not say,None of the above,Would rather not say,NA,Don't know / not sure,Disagree,"Neither agree, nor disagree","Neither agree, nor disagree",not applicable,not applicable,not applicable,control,No vote,Unemployed,Yes
65,Male,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",None of the above,"£10,000-19,999",NA,"Yes, too many",Agree,Agree,Agree,5,3,7,control,Leave,Not in paid work,No
33,Female,GCSE or equivalent,None of the above,"Under £10,000",NA,"Yes, too many",Strongly agree,Strongly agree,"Neither agree, nor disagree",9,0,not applicable,control,Leave,Not in paid work,No
30,Male,GCSE or equivalent,UKIP,"Under £10,000",NA,"Yes, too many",Strongly agree,Strongly agree,"Neither agree, nor disagree",10,0,8,control,Leave,Full-Time,No
33,Female,Post-secondary below-degree level qualification,None of the above,"£20,000-29,999",NA,"No, not too many",Disagree,Strongly disagree,Agree,0,6,0,control,No vote,Full-Time,No
40,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Would rather not say,"£10,000-19,999",NA,"Yes, too many","Neither agree, nor disagree",Agree,Disagree,7,4,5,control,Leave,Part-Time,No
